Name,Size,Type,Subtype,Alignment,CR,XP,Source
Male Steeder,Medium,Monstrosity,,Unaligned,1/4,50,Mordenkainen's Tome of Foes pg. 238
Mud Mephit,Small,Elemental,,NE,1/4,50,Monster Manual pg. 216
Needle Blight,Medium,Plant,,NE,1/4,50,Monster Manual pg. 32
Oblex Spawn,Tiny,Ooze,,LE,1/4,50,Mordenkainen's Tome of Foes pg. 217
Ox,Large,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 207
Panther,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 333
Pixie,Tiny,Fey,,NG,1/4,50,Monster Manual pg. 253
Pseudodragon,Tiny,Dragon,,NG,1/4,50,Monster Manual pg. 254
Pteranodon,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 80
Riding Horse,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 336
Rothe,Large,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 207
Skeleton,Medium,Undead,,LE,1/4,50,Monster Manual pg. 272
Smoke Mephit,Small,Elemental,,NE,1/4,50,Monster Manual pg. 217
Sprite,Tiny,Fey,,NG,1/4,50,Monster Manual pg. 283
Star Spawn Grue,Small,Aberration,,NE,1/4,50,Mordenkainen's Tome of Foes pg. 234
Steam Mephit,Small,Elemental,,NE,1/4,50,Monster Manual pg. 217
Stench Kow,Large,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 207
Swarm of Bats,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 337
Swarm of Rats,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 339
Swarm of Ravens,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 339
Tortle,Medium,Humanoid,tortle,LG,1/4,50,Mordenkainen's Tome of Foes pg. 242
Troglodyte,Medium,Humanoid,troglodyte,CE,1/4,50,Monster Manual pg. 290
Vegepygmy,Small,Plant,,N,1/4,50,Volo's Guide to Monsters pg. 196
Velociraptor,Tiny,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 140
Violet Fungus,Medium,Plant,,Unaligned,1/4,50,Monster Manual pg. 138
Winged Kobold,Small,Humanoid,kobold,LE,1/4,50,Monster Manual pg. 195
Wolf,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 341
Wretched Sorrowsworn,Small,Monstrosity,,NE,1/4,50,Mordenkainen's Tome of Foes pg. 233
Zombie,Medium,Undead,,NE,1/4,50,Monster Manual pg. 316
Ape,Medium,Beast,,Unaligned,1/2,100,Monster Manual pg. 317
Black Bear,Medium,Beast,,Unaligned,1/2,100,Monster Manual pg. 318
Chitine,Small,Monstrosity,,CE,1/2,100,Volo's Guide to Monsters pg. 131
Cockatrice,Small,Monstrosity,,Unaligned,1/2,100,Monster Manual pg. 42
Crocodile,Large,Beast,,Unaligned,1/2,100,Monster Manual pg. 320
Darkling,Small,Fey,,CN,1/2,100,Volo's Guide to Monsters pg. 134
Darkmantle,Small,Monstrosity,,Unaligned,1/2,100,Monster Manual pg. 46
Dust Mephit,Small,Elemental,,NE,1/2,100,Monster Manual pg. 215
Firenewt Warrior,Medium,Humanoid,firenewt,NE,1/2,100,Volo's Guide to Monsters pg. 142
Gas Spore,Large,Plant,,Unaligned,1/2,100,Monster Manual pg. 138
Gazer,Tiny,Aberration,,NE,1/2,100,Volo's Guide to Monsters pg. 126
Giant Goat,Large,Beast,,Unaligned,1/2,100,Monster Manual pg. 326
Giant Sea Horse,Large,Beast,,Unaligned,1/2,100,Monster Manual pg. 328
Giant Wasp,Medium,Beast,,Unaligned,1/2,100,Monster Manual pg. 329
Gnoll,Medium,Humanoid,gnoll,CE,1/2,100,Monster Manual pg. 163
Gnoll Hunter,Medium,Humanoid,gnoll,CE,1/2,100,Volo's Guide to Monsters pg. 154
Gray Ooze,Medium,Ooze,,Unaligned,1/2,100,Monster Manual pg. 243
Hobgoblin,Medium,Humanoid,goblinoid,LE,1/2,100,Monster Manual pg. 186
Ice Mephit,Small,Elemental,,NE,1/2,100,Monster Manual pg. 215
Jackalwere,Medium,Humanoid,shapechanger,CE,1/2,100,Monster Manual pg. 193
Lizardfolk,Medium,Humanoid,lizardfolk,N,1/2,100,Monster Manual pg. 204
Magma Mephit,Small,Elemental,,NE,1/2,100,Monster Manual pg. 216
Magmin,Small,Elemental,,CN,1/2,100,Monster Manual pg. 212
Myconid Adult,Medium,Plant,,LN,1/2,100,Monster Manual pg. 232
Nupperibo,Medium,Fiend,devil,LE,1/2,100,Mordenkainen's Tome of Foes pg. 168
Orc,Medium,Humanoid,orc,CE,1/2,100,Monster Manual pg. 246
Orc Nurtured One of Yurtrus,Medium,Humanoid,orc,CE,1/2,100,Volo's Guide to Monsters pg. 184
Piercer,Medium,Monstrosity,,Unaligned,1/2,100,Monster Manual pg. 252
Reef Shark,Medium,Beast,,Unaligned,1/2,100,Monster Manual pg. 336
Rust Monster,Medium,Monstrosity,,Unaligned,1/2,100,Monster Manual pg. 262
Sahuagin,Medium,Humanoid,sahuagin,LE,1/2,100,Monster Manual pg. 263
Satyr,Medium,Fey,,CN,1/2,100,Monster Manual pg. 267
Scout,Medium,Humanoid,,,1/2,100,Monster Manual pg. 349
Shadow,Medium,Undead,,CE,1/2,100,Monster Manual pg. 269
Skulk,Medium,Humanoid,,CN,1/2,100,Mordenkainen's Tome of Foes pg. 227
Svirfneblin,Small,Humanoid,gnome,NG,1/2,100,Monster Manual pg. 164
Swarm of Insects,Medium,Beast,,Unaligned,1/2,100,Monster Manual pg. 338
Swarm of Rot Grubs,Medium,Beast,,Unaligned,1/2,100,Volo's Guide to Monsters pg. 208
Thug,Medium,Humanoid,,,1/2,100,Monster Manual pg. 350
Tridrone,Medium,Construct,,LN,1/2,100,Monster Manual pg. 225
Vine Blight,Medium,Plant,,NE,1/2,100,Monster Manual pg. 32
Warhorse,Large,Beast,,Unaligned,1/2,100,Monster Manual pg. 340
Warhorse(Skeleton),Large,Undead,,LE,1/2,100,Monster Manual pg. 273
Worg,Large,Monstrosity,,NE,1/2,100,Monster Manual pg. 341
Animated Armor,Medium,Construct,,Unaligned,1,200,Monster Manual pg. 19
Brass Dragon Wyrmling,Medium,Dragon,,CG,1,200,Monster Manual pg. 106
Bronze Scout,Medium,Construct,,Unaligned,1,200,Mordenkainen's Tome of Foes pg. 125
Brown Bear,Large,Beast,,Unaligned,1,200,Monster Manual pg. 319
Bugbear,Medium,Humanoid,goblinoid,CE,1,200,Monster Manual pg. 33
Choker,Small,Aberration,,CE,1,200,Mordenkainen's Tome of Foes pg. 123
Copper Dragon Wyrmling,Medium,Dragon,,CG,1,200,Monster Manual pg. 112
Death Dog,Medium,Monstrosity,,NE,1,200,Monster Manual pg. 321
Deinonychus,Medium,Beast,,Unaligned,1,200,Volo's Guide to Monsters pg. 139
Dire Wolf,Large,Beast,,Unaligned,1,200,Monster Manual pg. 321
Dryad,Medium,Fey,,N,1,200,Monster Manual pg. 121
Duergar,Medium,Humanoid,dwarf,LE,1,200,Monster Manual pg. 122
Duergar Soulblade,Medium,Humanoid,dwarf,LE,1,200,Mordenkainen's Tome of Foes pg. 190
Female Steeder,Large,Monstrosity,,Unaligned,1,200,Mordenkainen's Tome of Foes pg. 238
Fire Snake,Medium,Elemental,,NE,1,200,Monster Manual pg. 265
Firenewt Warlock of Imix,Medium,Humanoid,firenewt,NE,1,200,Volo's Guide to Monsters pg. 143
Ghoul,Medium,Undead,,CE,1,200,Monster Manual pg. 148
Giant Eagle,Large,Beast,,NG,1,200,Monster Manual pg. 324
Giant Hyena,Large,Beast,,Unaligned,1,200,Monster Manual pg. 326
Giant Octopus,Large,Beast,,Unaligned,1,200,Monster Manual pg. 326
Giant Spider,Large,Beast,,Unaligned,1,200,Monster Manual pg. 328
Giant Strider,Large,Monstrosity,,NE,1,200,Volo's Guide to Monsters pg. 143
Giant Toad,Large,Beast,,Unaligned,1,200,Monster Manual pg. 329
Giant Vulture,Large,Beast,,NE,1,200,Monster Manual pg. 329
Gnoll Flesh Gnawer,Medium,Humanoid,gnoll,CE,1,200,Volo's Guide to Monsters pg. 154
Goblin Boss,Small,Humanoid,goblinoid,NE,1,200,Monster Manual pg. 166
Grung Wildling,Small,Humanoid,grung,LE,1,200,Volo's Guide to Monsters pg. 157
Half-ogre,Large,Giant,,Any chaotic,1,200,Monster Manual pg. 238
Harpy,Medium,Monstrosity,,CE,1,200,Monster Manual pg. 181
Hippogriff,Large,Monstrosity,,Unaligned,1,200,Monster Manual pg. 184
Imp,Tiny,Fiend,devil, shapechanger,LE,1,200,Monster Manual pg. 76
Kobold Dragonshield,Small,Humanoid,kobold,LE,1,200,Volo's Guide to Monsters pg. 165
Kobold Scale Sorcerer,Small,Humanoid,kobold,LE,1,200,Volo's Guide to Monsters pg. 167
Kuo-toa Whip,Medium,Humanoid,kuo-toa,NE,1,200,Monster Manual pg. 200
Lion,Large,Beast,,Unaligned,1,200,Monster Manual pg. 331
Maw Demon,Medium,Fiend,demon,CE,1,200,Volo's Guide to Monsters pg. 137
Meazel,Medium,Humanoid,meazel,NE,1,200,Mordenkainen's Tome of Foes pg. 214
Nilbog,Small,Humanoid,goblinoid,CE,1,200,Volo's Guide to Monsters pg. 182
Quadrone,Medium,Construct,,LN,1,200,Monster Manual pg. 226
Quaggoth Spore Servant,Medium,Plant,,Unaligned,1,200,Monster Manual pg. 230
Quasit,Tiny,Fiend,demon, shapechanger,CE,1,200,Monster Manual pg. 63
Quickling,Tiny,Fey,,CE,1,200,Volo's Guide to Monsters pg. 187
Scarecrow,Medium,Construct,,CE,1,200,Monster Manual pg. 268
Sea Spawn,Medium,Humanoid,,NE,1,200,Volo's Guide to Monsters pg. 189
Specter,Medium,Undead,,CE,1,200,Monster Manual pg. 279
Spy,Medium,Humanoid,,,1,200,Monster Manual pg. 349
Stone Cursed,Medium,Construct,,LE,1,200,Mordenkainen's Tome of Foes pg. 240
Swarm of Quippers,Medium,Beast,,Unaligned,1,200,Monster Manual pg. 338
Thorny,Medium,Plant,,N,1,200,Volo's Guide to Monsters pg. 197
Thri-kreen,Medium,Humanoid,thri-kreen,CN,1,200,Monster Manual pg. 288
Tiger,Large,Beast,,Unaligned,1,200,Monster Manual pg. 339
Vargouille,Tiny,Fiend,,CE,1,200,Volo's Guide to Monsters pg. 195
Xvart Warlock of Raxivort,Small,Humanoid,xvart,CE,1,200,Volo's Guide to Monsters pg. 200
Young Faerie Dragon,Tiny,Dragon,,CG,1,200,Monster Manual pg. 133
Yuan-ti Pureblood,Medium,Humanoid,yuan-ti,NE,1,200,Monster Manual pg. 310
Adult Faerie Dragon,Tiny,Dragon,,CG,2,450,Monster Manual pg. 133
Adult Kruthik,Medium,Monstrosity,,Unaligned,2,450,Mordenkainen's Tome of Foes pg. 212
Allosaurus,Large,Beast,,Unaligned,2,450,Monster Manual pg. 79
Ankheg,Large,Monstrosity,,Unaligned,2,450,Monster Manual pg. 21
Aurochs,Large,Beast,,Unaligned,2,450,Volo's Guide to Monsters pg. 207
Awakened Tree,Huge,Plant,,Unaligned,2,450,Monster Manual pg. 317
Azer,Medium,Elemental,,LN,2,450,Monster Manual pg. 22
Bandit Captain,Medium,Humanoid,,Any non-lawful,2,450,Monster Manual pg. 344
Bard,Medium,Humanoid,,Any,2,450,Volo's Guide to Monsters pg. 211
Berbalang,Medium,Aberration,,NE,2,450,Mordenkainen's Tome of Foes pg. 120
Berserker,Medium,Humanoid,,Any chaotic,2,450,Monster Manual pg. 344
Black Dragon Wyrmling,Medium,Dragon,,CE,2,450,Monster Manual pg. 88
Bronze Dragon Wyrmling,Medium,Dragon,,LG,2,450,Monster Manual pg. 109
Carrion Crawler,Large,Monstrosity,,Unaligned,2,450,Monster Manual pg. 37
Cave Bear,Large,Beast,,Unaligned,2,450,Monster Manual pg. 334
Centaur,Large,Monstrosity,,NG,2,450,Monster Manual pg. 38
Cult Fanatic,Medium,Humanoid,,Any non-good,2,450,Monster Manual pg. 345
Darkling Elder,Medium,Fey,,CN,2,450,Volo's Guide to Monsters pg. 134
Druid,Medium,Humanoid,,Any,2,450,Monster Manual pg. 346
Duergar Hammerer,Medium,Construct,,LE,2,450,Mordenkainen's Tome of Foes pg. 188
Duergar Kavalrachni,Medium,Humanoid,dwarf,LE,2,450,Mordenkainen's Tome of Foes pg. 189
Duergar Mind Master,Medium,Humanoid,dwarf,LE,2,450,Mordenkainen's Tome of Foes pg. 189
Duergar Stone Guard,Medium,Humanoid,dwarf,LE,2,450,Mordenkainen's Tome of Foes pg. 191
Duergar Xarrorn,Medium,Humanoid,dwarf,LE,2,450,Mordenkainen's Tome of Foes pg. 193
Ettercap,Medium,Monstrosity,,NE,2,450,Monster Manual pg. 131
Gargoyle,Medium,Elemental,,CE,2,450,Monster Manual pg. 140
Gelatinous Cube,Large,Ooze,,Unaligned,2,450,Monster Manual pg. 242
Ghast,Medium,Undead,,CE,2,450,Monster Manual pg. 148
Giant Boar,Large,Beast,,Unaligned,2,450,Monster Manual pg. 323
Giant Constrictor Snake,Huge,Beast,,Unaligned,2,450,Monster Manual pg. 324
Giant Elk,Huge,Beast,,Unaligned,2,450,Monster Manual pg. 325
Gibbering Mouther,Medium,Aberration,,N,2,450,Monster Manual pg. 157
Githzerai Monk,Medium,Humanoid,gith,LN,2,450,Monster Manual pg. 161
Gnoll Pack Lord,Medium,Humanoid,gnoll,CE,2,450,Monster Manual pg. 163
Green Dragon Wyrmling,Medium,Dragon,,LE,2,450,Monster Manual pg. 95
Grick,Medium,Monstrosity,,N,2,450,Monster Manual pg. 173
Griffon,Large,Monstrosity,,Unaligned,2,450,Monster Manual pg. 174
Grung Elite Warrior,Small,Humanoid,grung,LE,2,450,Volo's Guide to Monsters pg. 157
Guard Drake,Medium,Dragon,,Unaligned,2,450,Volo's Guide to Monsters pg. 158
Hobgoblin Iron Shadow,Medium,Humanoid,goblinoid,LE,2,450,Volo's Guide to Monsters pg. 162
Hunter Shark,Large,Beast,,Unaligned,2,450,Monster Manual pg. 330
Intellect Devourer,Tiny,Aberration,,LE,2,450,Monster Manual pg. 191
Lizardfolk Shaman,Medium,Humanoid,lizardfolk,N,2,450,Monster Manual pg. 205
Meenlock,Small,Fey,,NE,2,450,Volo's Guide to Monsters pg. 170
Merrow,Large,Monstrosity,,CE,2,450,Monster Manual pg. 219
Mimic,Medium,Monstrosity,shapechanger,N,2,450,Monster Manual pg. 220
Minotaur(Skeleton),Large,Undead,,LE,2,450,Monster Manual pg. 273
Myconid Sovereign,Large,Plant,,LN,2,450,Monster Manual pg. 232
Nothic,Medium,Aberration,,NE,2,450,Monster Manual pg. 236
Ochre Jelly,Large,Ooze,,Unaligned,2,450,Monster Manual pg. 243
Ogre,Large,Giant,,CE,2,450,Monster Manual pg. 237
Ogre Bolt Launcher,Large,Giant,,CE,2,450,Mordenkainen's Tome of Foes pg. 220
Ogre Howdah,Large,Giant,,CE,2,450,Mordenkainen's Tome of Foes pg. 221
Ogre Zombie,Large,Undead,,NE,2,450,Monster Manual pg. 316
Orc Claw of Luthic,Medium,Humanoid,orc,CE,2,450,Volo's Guide to Monsters pg. 183
Orc Eye of Gruumsh,Medium,Humanoid,orc,CE,2,450,Monster Manual pg. 247
Orc Hand of Yurtrus,Medium,Humanoid,orc,CE,2,450,Volo's Guide to Monsters pg. 184
Orog,Medium,Humanoid,orc,CE,2,450,Monster Manual pg. 247
Pegasus,Large,Celestial,,CG,2,450,Monster Manual pg. 250
Pentadrone,Large,Construct,,LN,2,450,Monster Manual pg. 226
Peryton,Medium,Monstrosity,,CE,2,450,Monster Manual pg. 251
Plesiosaurus,Large,Beast,,Unaligned,2,450,Monster Manual pg. 80
Polar Bear,Large,Beast,,Unaligned,2,450,Monster Manual pg. 334
Priest,Medium,Humanoid,,,2,450,Monster Manual pg. 348
Quaggoth,Medium,Humanoid,quaggoth,CN,2,450,Monster Manual pg. 256
Quetzalcoatlus,Huge,Beast,,Unaligned,2,450,Volo's Guide to Monsters pg. 140
Rhinoceros,Large,Beast,,Unaligned,2,450,Monster Manual pg. 336
Rug of Smothering,Large,Construct,,Unaligned,2,450,Monster Manual pg. 20
Rutterkin,Medium,Fiend,demon,CE,2,450,Mordenkainen's Tome of Foes pg. 136
Saber-toothed Tiger,Large,Beast,,Unaligned,2,450,Monster Manual pg. 336
Sahuagin Priestess,Medium,Humanoid,sahuagin,LE,2,450,Monster Manual pg. 264
Sea Hag,Medium,Fey,,CE,2,450,Monster Manual pg. 179
Shadow Mastiff,Medium,Monstrosity,NE,NE,2,450,Volo's Guide to Monsters pg. 190
Silver Dragon Wyrmling,Medium,Dragon,,LG,2,450,Monster Manual pg. 118
Specter (poltergeist),Medium,Undead,,CE,2,450,Monster Manual pg. 279
Spined Devil,Small,Fiend,devil,LE,2,450,Monster Manual pg. 78
Swarm of Poisonous Snakes,Medium,Beast,,Unaligned,2,450,Monster Manual pg. 338
Tortle Druid,Medium,Humanoid,tortle,LN,2,450,Mordenkainen's Tome of Foes pg. 242
Vegepygmy Chief,Small,Plant,,N,2,450,Volo's Guide to Monsters pg. 197
Wererat,Medium,Humanoid,human, shapechanger,LE,2,450,Monster Manual pg. 209
White Dragon Wyrmling,Medium,Dragon,,CE,2,450,Monster Manual pg. 102
Will-o-wisp,Tiny,Undead,,CE,2,450,Monster Manual pg. 301
Yuan-ti Broodguard,Medium,Humanoid,yuan-ti,NE,2,450,Volo's Guide to Monsters pg. 203
Ankylosaurus,Huge,Beast,,Unaligned,3,700,Monster Manual pg. 79
Archer,Medium,Humanoid,,Any,3,700,Volo's Guide to Monsters pg. 210
Basilisk,Medium,Monstrosity,,Unaligned,3,700,Monster Manual pg. 24
Bearded Devil,Medium,Fiend,devil,LE,3,700,Monster Manual pg. 70
Blue Dragon Wyrmling,Medium,Dragon,,LE,3,700,Monster Manual pg. 91
Bugbear Chief,Medium,Humanoid,goblinoid,CE,3,700,Monster Manual pg. 33
Bulezau,Medium,Fiend,demon,CE,3,700,Mordenkainen's Tome of Foes pg. 131
Cave Fisher,Medium,Monstrosity,,Unaligned,3,700,Volo's Guide to Monsters pg. 130
Choldrith,Medium,Monstrosity,,CE,3,700,Volo's Guide to Monsters pg. 132
Deathlock Wight,Medium,Undead,,NE,3,700,Mordenkainen's Tome of Foes pg. 129
Deep Scion,Medium,Humanoid,shapechanger,NE,3,700,Volo's Guide to Monsters pg. 135
Derro Savant,Small,Humanoid,derro,CE,3,700,Mordenkainen's Tome of Foes pg. 159
Displacer Beast,Large,Monstrosity,,LE,3,700,Monster Manual pg. 81
Doppelganger,Medium,Monstrosity,shapechanger,N,3,700,Monster Manual pg. 82
Duergar Screamer,Medium,Construct,,LE,3,700,Mordenkainen's Tome of Foes pg. 190
Flail Snail,Large,Elemental,,Unaligned,3,700,Volo's Guide to Monsters pg. 144
Giant Scorpion,Large,Beast,,Unaligned,3,700,Monster Manual pg. 327
Giff,Medium,Humanoid,,LN,3,700,Mordenkainen's Tome of Foes pg. 204
Githyanki Warrior,Medium,Humanoid,gith,LE,3,700,Monster Manual pg. 160
Gold Dragon Wyrmling,Medium,Dragon,,LG,3,700,Monster Manual pg. 115
Green Hag,Medium,Fey,,NE,3,700,Monster Manual pg. 177
Grell,Medium,Aberration,,NE,3,700,Monster Manual pg. 172
Hell Hound,Medium,Fiend,,LE,3,700,Monster Manual pg. 182
Hobgoblin Captain,Medium,Humanoid,goblinoid,LE,3,700,Monster Manual pg. 186
Hook Horror,Large,Monstrosity,,N,3,700,Monster Manual pg. 189
Illusionist,Medium,Humanoid,,Any,3,700,Volo's Guide to Monsters pg. 214
Killer Whale,Huge,Beast,,Unaligned,3,700,Monster Manual pg. 331
Knight,Medium,Humanoid,,,3,700,Monster Manual pg. 347
Leucrotta,Large,Monstrosity,,CE,3,700,Volo's Guide to Monsters pg. 169
Manticore,Large,Monstrosity,,LE,3,700,Monster Manual pg. 213
Martial Arts Adept,Medium,Humanoid,,Any,3,700,Volo's Guide to Monsters pg. 216
Merrenoloth,Medium,Fiend,yugoloth,NE,3,700,Mordenkainen's Tome of Foes pg. 250
Minotaur,Large,Monstrosity,,CE,3,700,Monster Manual pg. 223
Mummy,Medium,Undead,,LE,3,700,Monster Manual pg. 228
